epoch,train_loss,eval_loss,eval_top1,eval_top5
0,6.9125162821549635,6.9265395474243165,0.098,0.4839999999666214
1,6.757340779671302,6.901001824645996,0.1679999995803833,0.7459999996185303
2,6.498453837174636,6.816571142578125,0.3399999997329712,1.4459999942016601
3,6.243717927199143,6.829454529876709,0.5480000025177002,2.1940000146484375
4,5.996136298546424,6.909766673126221,0.800000004272461,2.9399999926757814
5,5.76644464639517,6.643552278747559,1.4720000047302246,5.17000001159668
6,5.542588362326989,6.005714724578858,4.1020000009155275,11.742000003356933
7,5.360275873771081,5.226643130950928,9.796000043334962,24.230000030517576
8,5.1604623060960035,4.4814436176300045,18.162000036621095,38.680000034179685
9,5.13595804801354,3.8455100386047363,26.80400000732422,50.86399993408203
10,5.026748840625469,3.359208947982788,34.070000053710935,59.42800005371094
11,4.904594421386719,2.999425601043701,39.85000006713867,65.4299999609375
12,4.856015095343957,2.732190665550232,44.278000007324216,69.53000007568359
13,4.683835891576914,2.5299931267547606,47.634000075683595,72.76599993652344
14,4.8205416936140795,2.371664222602844,50.49999993652344,75.27199995605469
15,4.648531840397761,2.2447182513809203,52.86400006347656,77.327999921875
16,4.644697941266573,2.13902625541687,54.772000107421874,78.88800009765625
17,4.599850746301504,2.0522680629730226,56.4519999194336,80.16799999023438
18,4.562882661819458,1.9785211882400513,57.88600001953125,81.2359999609375
19,4.546250948539147,1.9158525616455078,59.30000009521484,82.15800006347656
20,4.510797372231116,1.861685902709961,60.26600006591797,82.89799990478515
21,4.567692078076876,1.8151709510803222,61.16399993652344,83.60200010986328
22,4.459766057821421,1.7732035499572754,61.89400001220703,84.24600003417969
23,4.435850565250103,1.7362081258773803,62.6000000366211,84.76600016113281
24,4.443173701946552,1.7051007107543945,63.289999956054686,85.18600003173827
25,4.43597045311561,1.6755507347869874,63.84600010986328,85.67600008056641
26,4.410519361495972,1.6489318159675599,64.37000003173829,86.11199989746093
27,4.397014654599703,1.6235401094436646,64.75600000488281,86.45999997314453
28,4.364357361426721,1.6022875911140442,65.31000008056641,86.758
29,4.391751381067129,1.5818760137557983,65.72000005371093,86.976
30,4.2252798814039965,1.5630715784263611,66.106,87.18200010253906
31,4.265596353090727,1.5475392431259156,66.45000005126953,87.40800002441406
32,4.285591354736915,1.5324501292800903,66.75600007568359,87.58600010253906
33,4.312117411540105,1.5179700513648986,66.96399997070313,87.8000000756836
34,4.3514803647994995,1.5045575719070434,67.14199999511719,87.9760000756836
35,4.283689636450547,1.4936902119827271,67.39200001953125,88.13000004882812
36,4.247695638583257,1.4815712813186646,67.68800009765626,88.25799997070312
37,4.289035081863403,1.4709917934799195,67.85400007324219,88.32799997070312
38,4.259438615578872,1.460196125907898,68.17600017578125,88.50599994384766
39,4.23717999458313,1.4495809909248352,68.44600001953125,88.61599999511719
40,4.2417159630702095,1.4397749015617372,68.67199996582032,88.73800004638672
41,4.135762049601628,1.431264528388977,68.85799988769531,88.87199999511719
42,4.164154988068801,1.42207251581192,68.99999988769531,89.01000017578124
43,4.191705144368685,1.414365411682129,69.20399988769532,89.19400004638672
44,4.205636061154879,1.4071410047531128,69.46400001708984,89.31000014892578
45,4.194215710346516,1.39958921125412,69.60400004394532,89.40600020019531
46,4.202213470752422,1.3928309449005127,69.78999996582031,89.43000014892579
47,4.164757013320923,1.38775154712677,69.89799999267578,89.54000014892578
48,4.190155111826384,1.3823998956680297,70.03000006835937,89.60600001953125
49,4.137093690725473,1.3771451787376403,70.19600001708984,89.72999996826172
50,4.2036551512204685,1.3728473133468628,70.27399996582031,89.74400001953126
51,4.181007917110737,1.3676133416557312,70.43999993896485,89.76799989013672
52,4.135418937756465,1.363369195175171,70.49000001464844,89.88399991699218
53,4.074594103373014,1.3572283710098267,70.58800001220703,89.89000004638672
54,4.15612897506127,1.3533206800270081,70.74600009033203,90.01000012207031
55,4.1652645239463215,1.3503838137435913,70.82599998535156,90.06200009521484
56,4.139324188232422,1.3468102020072936,70.96600008789062,90.11200012207031
57,4.065533115313603,1.3427196256065368,70.9759998828125,90.16200001708984
58,4.1481079780138455,1.3399021110725402,71.09000006347657,90.16800014648437
59,4.0589794379014235,1.3366588994407653,71.1260000366211,90.18200011962891
60,4.164492671306316,1.33185074174881,71.2299999609375,90.2580001196289
61,4.054498461576609,1.3288236428642273,71.28399993408203,90.32800014648437
62,4.083663564461928,1.3257529300498962,71.3939999584961,90.33200009521484
63,4.124835390311021,1.3208365832138063,71.43999998535156,90.44600009521484
64,4.018087267875671,1.3163101971435547,71.58600008789062,90.4540001977539
65,4.069762862645662,1.3130938841438293,71.64599998535157,90.52000014648438
66,4.030100675729605,1.3081727153587341,71.70600014160156,90.59400006835938
67,4.004461545210618,1.303784933719635,71.89000011474609,90.69200014648438
68,3.99519472855788,1.3010853544998169,71.8999999584961,90.71000017089844
69,4.039583068627578,1.2986680951309204,71.94200000976562,90.82800017089843
70,4.074477058190566,1.296964187412262,72.01600006103516,90.84200009277343
71,3.956992800419147,1.2933819470977783,72.08000013916016,90.86000017089843
72,4.0825340656133795,1.2904410371780395,72.09400000976562,90.85200019775391
73,4.038541656274062,1.2877673377037049,72.16999998535157,90.85400001708985
74,4.064916335619413,1.2856232069015503,72.23200003662109,90.93200009277344
75,3.9740595634167013,1.2829307714271545,72.29599998291016,90.90999999023437
76,3.892255966479962,1.2810098232841491,72.24799993164062,90.96200006835937
77,4.032999102885906,1.277868938179016,72.34000005859374,91.0180001977539
78,4.003244886031518,1.275158998260498,72.34400000732421,91.03600014648437
79,4.0150952981068535,1.2713421572113037,72.46400018798828,91.09400006835938
80,3.9830609376613912,1.2701919493865967,72.50600008544922,91.12400014648438
81,3.9061752190956702,1.2672437044334413,72.52400003417969,91.18600009521484
82,3.950935015311608,1.2648945965003968,72.69000000732422,91.14600009521484
83,4.044573747194731,1.2623160017395019,72.73000005859375,91.20000009521485
84,3.9792214173537035,1.2591487170410156,72.78199995605469,91.21200001708985
85,4.034139669858492,1.257199572429657,72.80799993164062,91.2420000415039
86,3.9671197487757754,1.255793641281128,72.83399995605468,91.24800006591796
87,4.035061322725737,1.2541257936668395,72.9359999584961,91.29800006835937
88,4.018419201557453,1.2514846418952943,73.01799995849609,91.3300001196289
89,4.002204702450679,1.2497348782920839,73.01600008544922,91.36599996337891
90,4.063668278547434,1.2460519209861756,73.00200000732421,91.36199999023438
91,3.996007259075458,1.2437589953231811,73.05199987792969,91.43599986083984
92,3.989658319033109,1.2405006272506713,73.10999998046876,91.48399993896484
93,3.975394524060763,1.2384296170043945,73.11400008300781,91.47599991210937
94,3.9914113925053525,1.2353895103263854,73.17599998046875,91.4619999633789
95,3.927215108504662,1.2323533341407775,73.22400005859375,91.52600009277344
96,4.0030267513715305,1.2305371684455872,73.21600010986329,91.56800009277343
97,3.9008078575134277,1.2282187602996826,73.29399995605469,91.59000022216797
98,3.895208193705632,1.2255431882476806,73.40799993164063,91.6420000415039
99,3.8977731374593882,1.2232087183380127,73.31399998291016,91.61200006835938
100,3.8699963826399584,1.220680490951538,73.35200003417968,91.60200006835937
101,3.962887406349182,1.2193532373046876,73.42200003417969,91.63800014404296
102,3.970984486433176,1.217723113708496,73.47800011230468,91.64000017089843
103,3.985455421301035,1.214661846485138,73.49400003417969,91.72800017089844
104,3.8844656485777636,1.2131935744285582,73.48000000732422,91.7020001196289
105,3.9151892845447245,1.2097296821403503,73.54000003417968,91.74599999023438
106,3.9161013456491323,1.2076815974617003,73.61000008544922,91.74599999023438
107,3.869013942204989,1.2054398658180236,73.67000019042969,91.73999999023438
108,3.8984205631109385,1.2039716246032715,73.7279999584961,91.86400009277344
109,3.901265126008254,1.2014020706939696,73.73200006103515,91.84199999023437
110,3.8422146302003126,1.1979108965301513,73.83400006103516,91.88399993896485
111,3.9274912889187155,1.1968037386894226,73.91400000976563,91.87199993896485
112,3.831793491656964,1.1933649147033691,73.97600016357421,91.8560000415039
113,3.861035081056448,1.1912474087905884,74.01600000732422,91.88400004150391
114,3.9262021963412943,1.1887670100212098,74.01000005859375,91.94600001464843
115,3.842338506992047,1.1871879229164124,73.96400003417969,91.93200009277344
116,3.860395413178664,1.1853593842124939,74.00400000976562,91.93400009277343
117,3.9120693573584924,1.1830914674377442,74.04399998291015,92.00200009277344
118,3.801972270011902,1.181137850151062,74.06400016601563,91.97200006591797
119,3.8778541638300967,1.1793100973510742,74.07800006103515,92.0260000415039
120,3.8642805631344137,1.1771065620422363,74.09199993164063,91.98199999023437
121,3.899661999482375,1.175317560596466,74.14999985351562,92.04799991210938
122,3.9225155206827016,1.1730701540565491,74.21800000732422,92.04800001464844
123,3.8850334057441125,1.170684951057434,74.22800008544922,92.10000001464844
124,3.8258696427712073,1.1682794603729247,74.28199995605469,92.13000014404297
125,3.802351814049941,1.1679069305229186,74.35599992919921,92.09399998779297
